Name,Born,Status,Died,Age
Name,Born,Status,Died,Age
Milton Ager,10/6/1893,dead,5/6/1979,-85
Paul Anka,7/30/1941,alive,,69
Burt Bacharach,5/12/1929,alive,,81
Jeff Barry,4/3/1938,alive,,72
Hal David,5/25/1921,alive,,89
Lamont Dozier,6/16/1941,alive,,69
Gerry Goffin,2/11/1939,alive,,71
Howard Greenfield,3/15/1936,dead,3/4/1986,-49
Ellie Greenwich,10/23/1940,dead,8/26/2009,-68
Brian Holland,2/15/1941,alive,,69
Eddie Holland,10/30/1939,alive,,70
Carole King,2/9/1942,alive,,68
Kris Kristofferson,6/22/1936,alive,,74
Randy Newman,11/28/1943,alive,,66
Laura Nyro,10/18/1947,dead,4/8/1997,-49
Bernie Taupin,5/22/1950,alive,,60
Paul Williams,9/19/1940,alive,,70
Jack Yellen,7/6/1892,dead,4/17/1991,-98
,,,,
,,,,
Name,Born,Status,Died,Age
Andrae Crouch,6/1/1950,alive,,60
Tom Fettke,??/??/1941,alive,,69
Bill Gaither,3/28/1936,alive,,74
Gloria Gaither,3/4/1942,alive,,68
Dottie Rambo,3/2/1934,dead,5/11/2008,-74
,,,,
,,,,
Name,Born,Status,Died,Age
Irving Berlin,5/11/1888,dead,9/22/1989,-101
Elmer Bernstein,4/4/1922,dead,8/18/2004,-82
Alexander Courage,12/10/1919,dead,5/15/2008,-88
Jerry Goldsmith,2/10/1929,dead,7/21/2004,-75
Marvin Hamlisch,6/2/1944,alive,,66
Neal Hefti,10/29/1922,dead,10/11/2008,-85
Henry Mancini,4/16/1924,dead,6/14/1994,-70
Ennio Morricone,11/10/1928,alive,,81
Mike Post,9/29/1944,alive,,66
Nelson Riddle,6/1/1921,dead,10/6/1985,-64
Stephen Sondheim,3/22/1930,alive,,80
Andrew Lloyd Webber,3/22/1948,alive,,62
John Williams,2/8/1932,alive,,78
Meredith Willson,5/18/1902,dead,6/15/1984,-82
,,,,
,,,,
Name,Born,Status,Died,Age
Woody Allen,12/1/1935,alive,,74
Robert Altman,2/20/1925,dead,11/20/2006,-81
Samuel Z. Arkoff,6/12/1918,dead,9/16/2001,-83
William Asher,8/8/1921,alive,,89
Richard Attenborough,8/29/1923,alive,,87
Albert 'Cubby' Broccoli,4/5/1909,dead,6/27/1996,-87
Ingmar Bergman,7/14/1918,dead,7/30/2007,-89
Joe Barbera,3/24/1911,dead,12/18/2006,-95
Mel Brooks,6/28/1926,alive,,84
Tim Burton,8/25/1958,alive,,52
Stephen J. Cannell,2/5/1941,dead,9/30/2010,-69
John Carpenter,1/16/1948,alive,,62
Ethan Coen,9/21/1957,alive,,53
Joel Coen,11/29/1954,alive,,55
Francis Ford Coppola,4/7/1939,alive,,71
Don Cornelius,9/27/1936,alive,,74
Wes Craven,8/2/1939,alive,,71
David Cronenberg,3/15/1943,alive,,67
Fred De Cordova,10/27/1910,dead,9/15/2001,-90
Dino De Laurentiis,8/8/1918,alive,,92
Brian De Palma,9/11/1940,alive,,70
John Derek,8/12/1926,dead,5/22/1998,-71
William Dozier,2/13/1908,dead,4/23/1991,-83
Blake Edwards,7/26/1922,alive,,88
Mark Goodson,1/14/1915,dead,12/18/1992,-77
Bill Hanna,7/14/1910,dead,3/22/2001,-90
Ray Harryhausen,6/29/1920,alive,,90
Paul Henning,9/16/1911,dead,3/25/2005,-93
John Huston,8/5/1906,dead,8/28/1987,-81
Leonard Katzman,9/2/1927,dead,9/5/1996,-69
Elia Kazan,9/7/1909,dead,9/28/2003,-94
